names,category,weight
qhdwpg,Ot,0.5
bulcdd,Fy,0.5
hnpmdo,Fy,0.5
tafcnx,Ot,0.5
zbtwyj,Fr,0.5
csdllj,Fr,0.5
rbkbti,Ot,0.5
nopvha,Sp,0.5
hapdxv,Ot,0.5
jdxbrz,Ot,0.5
slrrlc,Ot,0.5
pacvxj,St,1.0
jrgjzv,Ot,0.5
fqsjih,Fy,0.5
xyqrwl,Fr,0.5
wqqvkh,Ot,0.5
kpkbkw,Fy,0.5
rmzmoz,Fr,0.5
bznrdc,Fr,0.5
yyeotf,Ot,0.5
dqpdvl,Ot,0.5
klktgs,Ot,0.5
gypbix,Ot,0.5
vehhby,Ot,0.5
bfoitv,Ot,0.5
xnxqtf,Fy,0.5
vxzmpj,Fr,0.5
iafaae,Ot,0.5
eedezr,Ot,0.5
plccjb,Fy,0.5
eoxnjf,Ot,0.5
pvtkis,Ot,0.5
kcehzp,Ot,0.5
lzdbam,Fy,0.5
sbyynw,Sp,0.5
klxire,Ot,0.5
nubzof,Ot,0.5
qwdgyy,Ot,0.5
ajewxx,Ot,0.5
jqlgxx,Ot,0.5
ytdjcy,Ot,0.5
wavjjd,Ot,0.5
iamywp,Ot,0.5
zamezb,St,1.0
luagfz,Fy,0.5
jmwqce,Fr,0.5
avnlga,Ot,0.5
bpwbrr,Ot,0.5
rruqbj,Fr,0.5
juzwia,Ot,0.5
pppmng,Fy,0.5
gncbhj,Fr,0.5
lyirse,Fr,0.5
dqnydg,Fy,0.5
oojbfm,Ot,0.5
iwmlzh,Fr,0.5
xlykyy,Ot,0.5
vaocqt,Sp,0.5
zpejok,Fr,0.5
kslelv,Ot,0.5
sydllx,Fy,0.5
oaehta,St,1.0
fttkuf,Ot,0.5
tnkdvo,Fr,0.5
uwnxym,Fy,0.5
achdlm,Fr,0.5
tqdtrh,Fy,0.5
snyadt,Fy,0.5
looveb,Fr,0.5
uprsyq,Fy,0.5
mvzcdj,Fy,0.5
wmxnpa,Ot,0.5
twnmfd,Ot,0.5
nwqjrm,Ot,0.5
vlzsit,Sp,0.5
ionksi,Ot,0.5
lxjxfq,Ot,0.5
tnsdof,Fy,0.5
yiqifd,Ot,0.5
ypwdef,Ot,0.5
hlsxfl,Ot,0.5
ppfqmj,Fr,0.5
wjqscm,Fr,0.5
bevmlb,Ot,0.5
kylsoc,Ot,0.5
hvpytr,Fr,0.5
ettrjf,Fr,0.5
ohwnbg,Fr,0.5
yfjiue,Ot,0.5
hooniu,Fr,0.5
ffortg,Fr,0.5
pgxhqw,Fr,0.5
vqdvjo,Fy,0.5
kmxtds,Fr,0.5
dwifly,Fy,0.5
zkfujz,Fr,0.5
vvvzwc,Sp,0.5
rtvsxi,Ot,0.5
nsyjue,Ot,0.5
wkpmwv,Ot,0.5
crxjtk,Ot,0.5
nmtgyw,Ot,0.5
vtjutk,Ot,0.5
aygqzw,Ot,0.5
fdkbvk,Ot,0.5
cfcdtb,Ot,0.5
uzrxei,Fr,0.5
ixoodq,Ot,0.5
zxlsad,Fy,0.5
qcqcrk,Sp,0.5
vaoybo,Ot,0.5
yynlat,Fr,0.5
gwzilk,Ot,0.5
ucbvtw,Sp,0.5
zlqdhr,Fr,0.5
wwceod,Fy,0.5
ltofma,Ot,0.5
uqpglx,Fy,0.5
ygxkhc,Fy,0.5
ncjwvp,Ot,0.5
mlciwg,Ot,0.5
wsnans,Ot,0.5
cpxmjk,Ot,0.5
vepuas,Ot,0.5
uudzgs,Ot,0.5
dphbvr,Fr,0.5
wznxtg,Ot,0.5
fdayar,Ot,0.5
ygbodt,St,1.0
didyjo,Ot,0.5
irukku,Ot,0.5
ktyfkc,Ot,0.5
wvardg,Fr,0.5
uqovou,Ot,0.5
iuuvmo,Fr,0.5
oojzsg,Fr,0.5
qxdsai,Sp,0.5
pcwhzf,Fr,0.5
arkxrh,Ot,0.5
kpnqzw,Fr,0.5
dlmknv,Fy,0.5
xhnexv,Fr,0.5
ycming,Ot,0.5
vpngih,Fy,0.5
ijufjv,Fy,0.5
aiaugg,Fy,0.5
tabvxw,St,1.0
znucpw,Ot,0.5
fdclpc,Sp,0.5
ekqfjt,Ot,0.5
juiaec,Fr,0.5
vqvyxy,Ot,0.5
zdemjp,Fr,0.5
ezsrvb,Fy,0.5
orafyy,Fr,0.5
wcdcbc,Ot,0.5
tllrnd,Ht,1.0
vupted,Fr,0.5
sinbop,Ot,0.5
wmzlrz,Fr,0.5
kzwxcm,Ot,0.5
yvnyjo,Fr,0.5
qwpjso,Fr,0.5
djfvlz,Fy,0.5
dgvhvu,Fr,0.5
fpgnbj,Fr,0.5
ptpvig,Ot,0.5
sdiekb,Fy,0.5
ivnmsq,Ot,0.5
hhldwn,Ht,1.0
bfizpb,Ot,0.5
akvrof,Sp,0.5
upizih,Ot,0.5
jpvkht,Ot,0.5
wnropf,Fr,0.5
rlzsdx,Fy,0.5
whaqkn,Ot,0.5
amwhmn,St,1.0
rwbabq,Ot,0.5
anhchk,Ot,0.5
flrwcv,Fy,0.5
vudxea,Fy,0.5
iaankj,Ot,0.5
ftnsef,Sp,0.5
rgfyrj,Ht,1.0
nvoeiu,Ot,0.5
wgbdax,Fr,0.5
wmbsug,Fy,0.5
yqrvnb,Ot,0.5
nqbmht,Fy,0.5
eehubj,Ot,0.5
itdtao,Fy,0.5
ryxgum,Fy,0.5
saufrs,Ot,0.5
qhwjpd,Ot,0.5
alyeqn,Fy,0.5
warvia,Ot,0.5
azayyg,Ot,0.5
cbshhm,Fy,0.5
xbchag,Ot,0.5
dtfcul,Ot,0.5
ixppau,Ot,0.5
hjkqzj,Ot,0.5
xankud,Ot,0.5
ixcwaa,Fy,0.5
xmistt,Ot,0.5
menmlw,Ot,0.5
wqlysp,Fy,0.5
fwpxny,Fy,0.5
wswjvr,Ot,0.5
mqdswg,Ot,0.5
mhrrfa,St,1.0
osvezb,Ot,0.5
kaxzky,Ot,0.5
qgshgx,Ht,1.0
dlqoxm,Ot,0.5
fgnxci,Ot,0.5
iltsru,Ot,0.5
dogmnt,Ot,0.5
avzwvx,Fr,0.5
ixwykn,Ot,0.5
yupgea,Fr,0.5
euujsg,Fy,0.5
hugawo,Fy,0.5
oewahb,Ot,0.5
nnwxvr,Ot,0.5
tioiqf,Ot,0.5
gypwyn,Ot,0.5
gzawep,Ot,0.5
uswooo,Ot,0.5
dwasam,Ot,0.5
qgpdse,Fy,0.5
wqsagt,Ot,0.5
iowkqz,Fy,0.5
xrpyca,Sp,0.5
fexscw,Fy,0.5
iruouh,Sp,0.5
igwkhx,Fr,0.5
hmfirj,Fr,0.5
jpqhou,Fr,0.5
dqldzp,Fr,0.5
umgcor,St,1.0
zjxsxn,Fr,0.5
uovhpv,Ot,0.5
bsxfek,Ot,0.5
gglhzr,Fr,0.5
xzaawt,Ot,0.5
mhqpim,Ot,0.5
spabje,Ot,0.5
snoinc,Ot,0.5
xesmnp,Fr,0.5
htxboy,Fr,0.5
khhvep,Ot,0.5
jxgbuk,Ot,0.5
nhnpbe,Ot,0.5
fwbqre,Ot,0.5
syhckl,Ot,0.5
evntyk,Ot,0.5
sfbaft,Fy,0.5
opuquj,Ot,0.5
rosbhx,Fr,0.5
xeqrfj,Fy,0.5
ddcznq,Ot,0.5
rtxdfs,Sp,0.5
qbujli,Fr,0.5
yhnnll,Fr,0.5
xlspwz,Ot,0.5
rsguke,Fy,0.5
dpjogc,Ot,0.5
buqkgd,Ot,0.5
hzvzkk,Fy,0.5
cryjjp,Ot,0.5
kkeplp,Fr,0.5
gxvjrk,Ot,0.5
rvjqmd,Ot,0.5
ycskzs,Fr,0.5
okuead,Ot,0.5
bpfocf,Ot,0.5
whfqvv,Fy,0.5
qysomw,Fy,0.5
lybusd,Ot,0.5
vwrrxe,Ot,0.5
kacuyh,Fy,0.5
fdxbdl,St,1.0
rhmwry,Fy,0.5
ytuidk,Fy,0.5
qnodnv,Fy,0.5
kynaha,Fy,0.5
echcah,Fr,0.5
ckeqcz,Fr,0.5
uczzsx,Fy,0.5
slcdgy,Ot,0.5
dszmzw,Ot,0.5
eanndy,Ot,0.5
qnkwlx,Fr,0.5
snixiq,Ot,0.5
eesqqt,Ot,0.5
bawjfd,Fr,0.5
xzzkjb,Fy,0.5
yhwmjc,Ot,0.5
jucfqj,Fr,0.5
curzoa,Ot,0.5
pkxoji,Fy,0.5
rwaxxn,Fy,0.5
cdwvji,Fy,0.5
lvklhx,Ot,0.5
szwoyx,Ot,0.5
leecvj,Fr,0.5
nuplii,Ot,0.5
wcwawd,Ot,0.5
fmqxmc,Ot,0.5
suqztv,Fy,0.5
ggmboc,Ot,0.5
rncmrl,Fr,0.5
xugpop,Fr,0.5
yfqwjx,St,1.0
xvmstz,Ot,0.5
kyoces,Fy,0.5
yxlpzl,Fr,0.5
obxojn,Ot,0.5
dhukfj,Ot,0.5
tacmun,Ot,0.5
pkwcob,Ot,0.5
bnfjso,Sp,0.5
dvmysc,Ot,0.5
ncybnr,St,1.0
tjwocr,Ot,0.5
punkzk,Sp,0.5
evmaeu,Fr,0.5
udufjp,Fy,0.5
arkfye,Ot,0.5
yyrqxh,Fy,0.5
tkskzy,Ot,0.5
ohuswt,Ot,0.5
hwrkal,Fr,0.5
jdzwme,Ot,0.5
giyemx,Sp,0.5
wrocch,Fr,0.5
gqkupi,Ot,0.5
knirek,Fy,0.5
jgelkf,Fr,0.5
rmpfjj,Ot,0.5
bmcfug,Ot,0.5
esjkjg,Ot,0.5
sgptsx,Fr,0.5
xynyyb,Ot,0.5
ddgqfp,Fr,0.5
ogvdnw,Fr,0.5
egrvyt,Fy,0.5
ozyock,Ot,0.5
gsqjjj,Fr,0.5
sohwst,Ot,0.5
fygqbj,Ot,0.5
kmmppg,Fr,0.5
xkqwkv,Fy,0.5
jnubiz,Fr,0.5
hmccmk,Sp,0.5
fvcito,Ot,0.5
pvrrfn,Ot,0.5
trosvl,Fy,0.5
dxrnqp,Fy,0.5
cxhvej,Ot,0.5
uchjig,Ot,0.5
mtqchc,Fy,0.5
dxlxjn,Ot,0.5
mugksq,Ot,0.5
jnbubq,Fr,0.5
pwulrg,Ot,0.5
lmtkml,Fy,0.5
jxvhcj,Fr,0.5
csdedr,Ot,0.5
vszmfd,Fr,0.5
wswmrj,Ot,0.5
nszvkl,Ot,0.5
jojkpy,Ot,0.5
fqomhe,Ot,0.5
habksx,Sp,0.5
fzzgic,Ot,0.5
reubov,Ot,0.5
lujvql,Fy,0.5
zedkez,Ot,0.5
pzhpps,Fr,0.5
tryfgt,St,1.0
iewueo,Ot,0.5
lofjck,Ot,0.5
agodgd,Ot,0.5
lcphqy,Ot,0.5
dlmmex,Ht,1.0
oudpqk,Ot,0.5
kyhauo,Ot,0.5
gkmcnb,Ot,0.5
bvyhru,Fy,0.5
rrtoqt,Fy,0.5
arqnbh,Ot,0.5
ozpcpr,Ot,0.5
biyjex,Fr,0.5
ovtbbn,Ot,0.5
pxqbhd,Ot,0.5
cnoevd,Ot,0.5
uneosn,Ot,0.5
wdwfqc,Ot,0.5
mgrgxo,Ot,0.5
umyyrn,Fy,0.5
uivtvc,Fy,0.5
qkruye,Fr,0.5
igeysf,Ot,0.5
dswyjo,Ht,1.0
ekwfaa,Ot,0.5
convts,Ot,0.5
fdrzsu,Fr,0.5
odwbcn,Ot,0.5
hrtvsz,Ot,0.5
fnhhiy,Fr,0.5
zjdwok,Ot,0.5
unomwe,Ot,0.5
xflxjb,Ot,0.5
rasdqo,Ht,1.0
dnppou,Fy,0.5
txjiiz,Fy,0.5
bsacqr,Ot,0.5
ujwxaq,Ot,0.5
dgmcmv,Ot,0.5
qpnbdm,Ot,0.5
zyovof,Fr,0.5
wvwzlu,Ot,0.5
jczaar,Ot,0.5
japnpf,Ot,0.5
sqphcn,Ot,0.5
aznbjw,Sp,0.5
ximdvh,Fr,0.5
kfkhba,Ot,0.5
ebtqkw,Ot,0.5
tbfnvc,Fr,0.5
ajzbqy,Ot,0.5
yrwkhu,Fr,0.5
tvckhj,Fr,0.5
opwhts,Ot,0.5
wrkjlk,Fy,0.5
kyskqn,Ot,0.5
vjffsn,St,1.0
iwegwe,Fr,0.5
kmjpcl,Fy,0.5
dxyyzh,Fy,0.5
geuscs,Ot,0.5
eqensg,Fr,0.5
xhgpsk,Ot,0.5
yxomjv,Ot,0.5
esedfe,Ot,0.5
ygmedh,Ot,0.5
gxbkvi,Ot,0.5
fyubyi,Ot,0.5
ramuda,Fr,0.5
fcnxnn,Ht,1.0
zfzfbh,Fr,0.5
iklhqk,Fy,0.5
zbbarm,Ot,0.5
lqcvqc,Fy,0.5
oppesi,Fr,0.5
rxwwvy,Ot,0.5
ceqqph,St,1.0
roxmqj,St,1.0
zoxkdv,Fr,0.5
uqboqn,Ot,0.5
jqtybe,Ot,0.5
nmzljp,St,1.0
hnphyb,Ot,0.5
mpmaic,Fr,0.5
uuuqwh,Ot,0.5
xulado,Fr,0.5
llmgqi,Ot,0.5
mhonkv,Fy,0.5
ctofru,Ot,0.5
atjhkb,Ot,0.5
ueaenr,Fy,0.5
cpetyp,Fy,0.5
yndvcw,Sp,0.5
yolgal,Fy,0.5
ymffui,Ot,0.5
dwbksq,Ot,0.5
ryngkm,Ot,0.5
gozgvo,Fr,0.5
zjfuzq,Fr,0.5
ffmhts,Fy,0.5
bhewkj,Fy,0.5
tusobv,Ot,0.5
iduphn,Fy,0.5
sbatxd,Sp,0.5
ehycpk,Fy,0.5
olrlgh,Fr,0.5
mqhvpo,Sp,0.5
reblpa,St,1.0
yqdtxc,Ot,0.5
olkgmr,Ot,0.5
fenpeb,Ot,0.5
kvzojc,Fr,0.5
kawhvg,Ot,0.5
vcsymz,Ot,0.5
tkpwkt,Ot,0.5
clqlol,Ot,0.5
mburty,Ot,0.5
lgqdko,Ot,0.5
tbgntp,Fy,0.5
llqvns,Ot,0.5
sqzwyb,Ot,0.5
jzyrby,Ot,0.5
kbrgqb,Ot,0.5
wnzarv,Sp,0.5
hckcjo,Sp,0.5
jpaljs,Fr,0.5
teiswk,Fr,0.5
wbbgcf,Ot,0.5
zxsojh,Fy,0.5
bslxzh,Fy,0.5
lcuigl,Ot,0.5
svbmbx,Fr,0.5
ifeuzx,Fr,0.5
awcruu,Fr,0.5
ooyzmf,Ot,0.5
uygjtl,Fr,0.5
xuoocf,Ot,0.5
jmsurn,Ot,0.5
kvpnnw,Ot,0.5
gxoiul,Ot,0.5
qwklbn,Ot,0.5
bifjbc,Ot,0.5
zblgmq,Fy,0.5
wdxidh,Fy,0.5
onadme,Fr,0.5
nfvydv,Fr,0.5
tamtpa,Fr,0.5
uqpqpy,Sp,0.5
cvesek,St,1.0
uieacs,Ot,0.5
syfncd,St,1.0
iusxdj,Ot,0.5
nvwgjo,Ot,0.5
temynu,Ot,0.5
ovwfrg,Fy,0.5
ohivho,Ht,1.0
ujzzmg,Fy,0.5
kiwezw,Ot,0.5
pdhuau,Fr,0.5
dwgoxh,Fr,0.5
emhcju,Fr,0.5
lxgaon,Ot,0.5
plblmv,Fr,0.5
cmyadj,Ot,0.5
hhrxtb,Fy,0.5
rlnaca,Fr,0.5
vtbrut,Fr,0.5
kbawpi,Ot,0.5
tclcld,Ot,0.5
kcquwl,Ot,0.5
loaedo,Sp,0.5
lttysb,Ot,0.5
gbrdtr,Ot,0.5
yfzqox,Sp,0.5
kiovaw,St,1.0
zanbgj,Ot,0.5
uacypb,Ot,0.5
fopakv,Fy,0.5
xrmrwn,Fr,0.5
hevbna,Ot,0.5
ecydrd,Fr,0.5
cfikqu,Ot,0.5
wlurji,Fr,0.5
rsuyvg,Fr,0.5
vksgvj,Ot,0.5
xqamic,Ot,0.5
huimvu,Fy,0.5
hxolbp,Ot,0.5
leavsw,Fy,0.5
ssotok,Fy,0.5
gdvzug,Ot,0.5
dqqime,Ot,0.5
otnekk,Fr,0.5
yjqcsn,Ot,0.5
nbxbsd,Ot,0.5
ymqlfl,Ot,0.5
avsgfu,Fr,0.5
fhjwnk,Fy,0.5
zdvpgq,Ot,0.5
umsvun,Fr,0.5
uehrgg,Ot,0.5
ymmqrq,Fr,0.5
olzpow,Ot,0.5
smdena,Ot,0.5
dkgpmz,Fy,0.5
lpyxic,Sp,0.5
xdixoq,Fr,0.5
qwwavp,Fr,0.5
bwagbs,Fy,0.5
kisyac,St,1.0
fvzcgq,Fy,0.5
sbxflr,Fy,0.5
pealqd,Fy,0.5
probed,Ot,0.5
wxkynq,Fr,0.5
wuuult,Ot,0.5
elisxi,Ht,1.0
gtnxoz,Fy,0.5
hlqtlg,Ot,0.5
iwlnar,Fy,0.5
gxhmta,Ot,0.5
mayfen,Ot,0.5
slveap,Ot,0.5
mvstmr,Fy,0.5
fmnmew,Fy,0.5
hwipbd,Ot,0.5
sajcxc,Fr,0.5
wdhvaz,Sp,0.5
wxohjo,Ot,0.5
gkhqhg,Ot,0.5
dmrqzo,Fr,0.5
opzxud,Ot,0.5
nljwvo,Ot,0.5
fkfybl,Fr,0.5
zarmha,Fy,0.5
uvjuoe,Ot,0.5
umjvfm,Fy,0.5
zhuxjt,Ot,0.5
jjkeaa,Ot,0.5
ptkytq,Ot,0.5
ikfetf,St,1.0
ciocnx,Fr,0.5
kcvuoq,Fy,0.5
gjiixd,Fr,0.5
zibrcc,Ot,0.5
yjhfjs,Sp,0.5
wulzwg,Fr,0.5
uiszfr,Ot,0.5
siqmen,Fr,0.5
yhsjpv,Fy,0.5
otwmau,Fr,0.5
iczhkd,Fr,0.5
uwequc,Fr,0.5
qgyqvo,Ot,0.5
pqsvws,Fr,0.5
zunbdj,Ot,0.5
wrjbii,Sp,0.5
nuqqin,Ot,0.5
gwmsch,Ot,0.5
kurtkg,Ot,0.5
vwsdzg,Ot,0.5
tbvdkk,Ot,0.5
vcfdas,Ot,0.5
stsumz,St,1.0
sytrjm,Ot,0.5
dxphrl,Ot,0.5
hkapti,Fr,0.5
ngxrkj,Ot,0.5
ujjmer,Ot,0.5
ugopvh,Ot,0.5
pxthka,Fy,0.5
zkxtit,Ot,0.5
lywwmu,Ot,0.5
voqjmi,Fr,0.5
imbosf,Fr,0.5
lrlqxm,Ot,0.5
vktzba,Ot,0.5
gahtam,Fr,0.5
ggypct,Fy,0.5
sfxotj,St,1.0
ghjvnn,Ot,0.5
hbmtod,Fy,0.5
odevei,Ot,0.5
tdjfjh,Ot,0.5
bznzxn,Ot,0.5
qdutfb,Ot,0.5
qwxpsu,Fy,0.5
nunuoo,Fy,0.5
xgumww,Fy,0.5
nyphnn,Ot,0.5
zdikkl,Ot,0.5
abbiao,Fr,0.5
maatnh,Ot,0.5
bejqka,Ot,0.5
vmavda,Ot,0.5
ozbcgz,Ot,0.5
lkxqnd,Fr,0.5
vrirdi,Ot,0.5
xvpaft,Fy,0.5
vclsqj,Fy,0.5
nhfgvb,Ot,0.5
lxscvk,Ot,0.5
dhdqpq,Ot,0.5
ffuhuw,Fr,0.5
yfiset,Ot,0.5
pxfpga,Fr,0.5
zxzwhv,Ot,0.5
xdfetl,Ot,0.5
vloxze,Fy,0.5
kwowfw,Fy,0.5
wagscb,Ot,0.5
yauugl,Ot,0.5
znzkix,Fy,0.5
vaaxzq,Ot,0.5
chyvlp,Ot,0.5
gcftgt,Ot,0.5
baclbi,Ot,0.5
ugijic,Fr,0.5
gmlhjv,Ot,0.5
ymehfc,Ot,0.5
yaaelq,Ot,0.5
ceuwfq,Fr,0.5
ppetkm,Ot,0.5
unfmal,Fy,0.5
ztetiy,Fy,0.5
dwvaze,Fr,0.5
csxsga,St,1.0
romemi,Ot,0.5
cxrsuv,Fr,0.5
ozilfm,Ot,0.5
mrypfd,Ot,0.5
mnfsll,Ot,0.5
jikbct,Ot,0.5
kdetpo,Fy,0.5
fbrbki,Ot,0.5
zahsjk,Ot,0.5
xndndq,Fr,0.5
jygdfp,Fr,0.5
ybrtnz,Ot,0.5
wewrqv,Ot,0.5
nxvzai,Ot,0.5
knmjqo,Ot,0.5
xwcyuv,Ot,0.5
vzmbhh,Ot,0.5
xbwcmn,Fr,0.5
abnugj,Fr,0.5
smozyu,Fr,0.5
keffqq,Ot,0.5
ltgsis,Fr,0.5
udgqsi,Fr,0.5
wvcwfj,Fr,0.5
oqzigz,Ot,0.5
kndlyc,Fr,0.5
dgpxui,Sp,0.5
phtbzu,Ot,0.5
jbgxlv,Ot,0.5
guztkq,Ot,0.5
nteuss,Fr,0.5
jprqad,Fr,0.5
cipasj,Fy,0.5
ivnmzp,Fr,0.5
oqvenz,Ot,0.5
ctxqbw,Ot,0.5
ghkmfv,Ot,0.5
mztejo,Ot,0.5
kwplmr,Ot,0.5
auniaq,Fy,0.5
hxjaff,Ot,0.5
scudfu,Fy,0.5
cgiyga,Ot,0.5
pxrxlk,Fr,0.5
mmpszl,Ot,0.5
efmpnu,Fr,0.5
oxjbbq,Sp,0.5
xjxlyx,Ot,0.5
lmytku,Ot,0.5
imasel,Ot,0.5
bdtetq,Ot,0.5
fzemqs,Fy,0.5
txawqh,Ot,0.5
vxmbqn,Ot,0.5
rphzet,Fy,0.5
ngjctx,Fr,0.5
hgrcak,Ot,0.5
hlroka,Ot,0.5
tupwvi,Fy,0.5
qjstqb,Ot,0.5
feiprz,Fr,0.5
hofypy,Ot,0.5
irlzip,Fy,0.5
dltkcn,Ot,0.5
grffgx,Fr,0.5
jjuiho,Ot,0.5
cntetc,Fy,0.5
naunxw,Ot,0.5
kpsobs,Ot,0.5
pkvbvi,Sp,0.5
eihpls,Ot,0.5
tzblnl,Fr,0.5
mvwmum,Fr,0.5
hhmahn,Ot,0.5
yjrbdr,Fr,0.5
oeajmg,Ot,0.5
sjoszh,Ot,0.5
vbxhwq,Ot,0.5
osslzf,Ot,0.5
emacfc,Ot,0.5
wfjhos,Ot,0.5
lvocsf,Fr,0.5
qxzsqu,Fr,0.5
imeozf,Ot,0.5
srokqk,Fy,0.5
dtgpll,St,1.0
xbdwet,Fr,0.5
wiiegp,Fr,0.5
ueblim,Fy,0.5
talweh,Fy,0.5
dgakwx,Ot,0.5
zwiwjt,Fr,0.5
xaohar,Fy,0.5
ovjikh,Ot,0.5
mfriji,Ot,0.5
hhevaq,Ot,0.5
gdnouv,Fr,0.5
sdyvfi,Ot,0.5
kqlveu,Ot,0.5
xowkwd,Fr,0.5
pfomrj,Fy,0.5
mycnrk,Sp,0.5
pwpibu,Ot,0.5
zktyse,Ot,0.5
qfislx,Fy,0.5
ykeudu,Ot,0.5
iqdhyy,Ot,0.5
haaqvl,Ot,0.5
usnohf,Ot,0.5
yilkhi,Ot,0.5
bmnxeu,Fy,0.5
yevdye,Ot,0.5
qoguyg,Ot,0.5
dxuoev,Ot,0.5
clvyya,Fy,0.5
frjfco,Fy,0.5
syboxt,Ot,0.5
mxxjpa,Ot,0.5
pyrcwq,Fy,0.5
tiyapf,Fr,0.5
bdxxkp,Ot,0.5
bolliw,Ot,0.5
hsfrwh,Fr,0.5
dqabii,Ot,0.5
wnovms,Ot,0.5
xbfkys,Ot,0.5
eupfkd,Ot,0.5
abaxvq,Ot,0.5
vrwwea,Fy,0.5
eclscs,Fy,0.5
qyzibq,Ot,0.5
lbrocl,Ot,0.5
epqyvc,Ot,0.5
dvohdy,Fy,0.5
jnxynd,Fy,0.5
qvhqts,Ot,0.5
rzdmmf,Fr,0.5
wtnavh,Fr,0.5
vvyzin,Fr,0.5
xrpdzm,Ot,0.5
vwbsyi,Ot,0.5
xtkijk,Fr,0.5
gbfcpx,Ot,0.5
ycllax,Fy,0.5
xwzgfw,Fr,0.5
doidnf,Ot,0.5
bnoolh,Ot,0.5
qbnamp,Fr,0.5
krltwg,Fr,0.5
fkkosa,Ot,0.5
mkklkd,Ot,0.5
kehiai,Fy,0.5
jfppet,Ot,0.5
dmgryj,Fy,0.5
zuwjdk,Ot,0.5
ezkvqk,Fy,0.5
vflqls,Fy,0.5
frmqpt,Fy,0.5
dtczzk,Sp,0.5
uvhxyl,Ot,0.5
utqbay,Ot,0.5
dwpcvf,Ot,0.5
mtdnra,Ot,0.5
smdvbo,Ot,0.5
kturyi,Fy,0.5
xzjxat,Sp,0.5
wmccew,Fr,0.5
wdgzbg,Fr,0.5
gdqovq,Ot,0.5
hyazmg,Ot,0.5
hhecbw,Ot,0.5
udlmvw,Ot,0.5
